""	"Test.Base.1"	"Test.Base.2"	"Test.Base.3"	"Test.Base.4"	"Test.Base.5"	"moyenne"
"random_unif"	1.70464400312861	1.70012709786393	1.69281001281283	1.70185794645292	1.69597239678131	1.699
"random_samp"	1.5986233517962	1.58710484692806	1.59638498102938	1.59328050469196	1.59288279769121	1.594
"meanOfMovies"	1.21313068597165	1.19855011846966	1.20652147533173	1.19997830849807	1.2160553883345	1.207
"meanOfUsers"	1.1288978935517	1.12030632973276	1.12849338866669	1.12770556980301	1.13016043940504	1.127
"mean"	1.12768946387165	1.11823906483569	1.12694593190107	1.12585450358933	1.12870359514897	1.125
"meanByUser"	1.03809812341279	1.03367054171373	1.04194386321812	1.04594012217543	1.04926776399025	1.042
"meanByMovie"	1.02193472349721	1.02428744757084	1.02520555964656	1.02019892469176	1.02186552796247	1.023
