""	"Test.Base.1"	"Test.Base.2"	"Test.Base.3"	"Test.Base.4"	"Test.Base.5"	"moyenne"
"random_unif"	1.70752111995106	1.70944413330528	1.70814138869962	1.7062281389939	1.70604020988599	1.707
"random_samp"	1.5803532239203	1.58066201786305	1.58035988324042	1.5752246757403	1.57837249557659	1.579
"meanOfMovies"	1.16536797147746	1.16586183929291	1.167668225312	1.16859030655951	1.16760504303408	1.167
"meanOfUsers"	1.12303431019792	1.12524927939572	1.12364982474372	1.12222803191154	1.12321141058523	1.123
"mean"	1.11688843717657	1.1186593363446	1.11718408224724	1.11637900048883	1.11684094577912	1.117
"meanByUser"	1.0354068686795	1.03626800688081	1.03670588362328	1.03603636929918	1.0343320526799	1.036
"meanByMovie"	0.980469965110409	0.978100315104716	0.979850624358853	0.981482153320663	0.977081168008865	0.979
